./run_distributed.sh 
(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
Started process 3
Started process 2
Started process 0
Started process 1
11:12:41 --- PID 0; epoch 0, batch 0
12:03:35 --- PID 3; epoch 0, batch 4
12:03:35 --- PID 2; epoch 0, batch 4
12:03:35 --- PID 1; epoch 0, batch 4
12:03:55 --- PID 0; epoch 0, batch 5
12:03:55 --- PID 3; epoch 0, batch 5
12:03:55 --- PID 2; epoch 0, batch 5
12:03:55 --- PID 1; epoch 0, batch 5
12:04:15 --- PID 0; epoch 0, batch 6
12:04:15 --- PID 2; epoch 0, batch 6
12:04:15 --- PID 3; epoch 0, batch 6
12:04:15 --- PID 1; epoch 0, batch 6
12:04:35 --- PID 0; epoch 0, batch 7
12:04:35 --- PID 3; epoch 0, batch 7
12:04:35 --- PID 2; epoch 0, batch 7
12:04:35 --- PID 1; epoch 0, batch 7
12:04:56 --- PID 0; epoch 0, batch 8
12:04:56 --- PID 3; epoch 0, batch 8
12:04:56 --- PID 2; epoch 0, batch 8
12:04:56 --- PID 1; epoch 0, batch 8
12:05:16 --- PID 0; epoch 0, batch 9
12:05:16 --- PID 3; epoch 0, batch 9
12:05:16 --- PID 2; epoch 0, batch 9
12:05:16 --- PID 1; epoch 0, batch 9
12:05:37 --- PID 1; epoch 1, batch 0
12:05:37 --- PID 2; epoch 1, batch 0
12:05:37 --- PID 3; epoch 1, batch 0
12:05:40 --- Epoch: 0	Train loss: 6.9317	Valid loss: 6.9309	Train accuracy: 0.20	Valid accuracy: 0.20
12:05:40 --- PID 0; epoch 1, batch 0
12:05:57 --- PID 0; epoch 1, batch 1
12:05:57 --- PID 3; epoch 1, batch 1
12:05:57 --- PID 2; epoch 1, batch 1
12:05:57 --- PID 1; epoch 1, batch 1
12:06:15 --- PID 0; epoch 1, batch 2
12:06:15 --- PID 3; epoch 1, batch 2
12:06:15 --- PID 2; epoch 1, batch 2
12:06:15 --- PID 1; epoch 1, batch 2
12:06:32 --- PID 0; epoch 1, batch 3
12:06:32 --- PID 2; epoch 1, batch 3
12:06:32 --- PID 3; epoch 1, batch 3
12:06:32 --- PID 1; epoch 1, batch 3
12:06:49 --- PID 0; epoch 1, batch 4
12:06:49 --- PID 3; epoch 1, batch 4
12:06:49 --- PID 2; epoch 1, batch 4
12:06:49 --- PID 1; epoch 1, batch 4
12:07:06 --- PID 0; epoch 1, batch 5
12:07:06 --- PID 3; epoch 1, batch 5
12:07:06 --- PID 2; epoch 1, batch 5
12:07:06 --- PID 1; epoch 1, batch 5
12:07:23 --- PID 0; epoch 1, batch 6
12:07:23 --- PID 2; epoch 1, batch 6
12:07:23 --- PID 3; epoch 1, batch 6
12:07:23 --- PID 1; epoch 1, batch 6
12:07:40 --- PID 3; epoch 1, batch 7
12:07:40 --- PID 0; epoch 1, batch 7
12:07:40 --- PID 1; epoch 1, batch 7
12:07:40 --- PID 2; epoch 1, batch 7
12:07:57 --- PID 0; epoch 1, batch 8
12:07:57 --- PID 3; epoch 1, batch 8
12:07:57 --- PID 2; epoch 1, batch 8
12:07:57 --- PID 1; epoch 1, batch 8
12:08:14 --- PID 0; epoch 1, batch 9
12:08:14 --- PID 3; epoch 1, batch 9
12:08:14 --- PID 2; epoch 1, batch 9
12:08:14 --- PID 1; epoch 1, batch 9
12:08:32 --- PID 2; epoch 2, batch 0
12:08:32 --- PID 3; epoch 2, batch 0
12:08:32 --- PID 1; epoch 2, batch 0
12:08:34 --- Epoch: 1	Train loss: 6.8956	Valid loss: 6.8946	Train accuracy: 0.21	Valid accuracy: 0.21
12:08:34 --- PID 0; epoch 2, batch 0
12:08:52 --- PID 0; epoch 2, batch 1
12:08:52 --- PID 3; epoch 2, batch 1
12:08:52 --- PID 2; epoch 2, batch 1
12:08:52 --- PID 1; epoch 2, batch 1
12:09:09 --- PID 3; epoch 2, batch 2
12:09:09 --- PID 0; epoch 2, batch 2
12:09:09 --- PID 2; epoch 2, batch 2
12:09:09 --- PID 1; epoch 2, batch 2
12:09:26 --- PID 0; epoch 2, batch 3
12:09:26 --- PID 2; epoch 2, batch 3
12:09:26 --- PID 3; epoch 2, batch 3
12:09:26 --- PID 1; epoch 2, batch 3
12:09:43 --- PID 0; epoch 2, batch 4
12:09:43 --- PID 3; epoch 2, batch 4
12:09:43 --- PID 2; epoch 2, batch 4
12:09:43 --- PID 1; epoch 2, batch 4
12:10:00 --- PID 0; epoch 2, batch 5
12:10:00 --- PID 3; epoch 2, batch 5
12:10:00 --- PID 2; epoch 2, batch 5
12:10:00 --- PID 1; epoch 2, batch 5
12:10:17 --- PID 0; epoch 2, batch 6
12:10:17 --- PID 3; epoch 2, batch 6
12:10:17 --- PID 2; epoch 2, batch 6
12:10:17 --- PID 1; epoch 2, batch 6
12:10:35 --- PID 0; epoch 2, batch 7
12:10:35 --- PID 2; epoch 2, batch 7
12:10:35 --- PID 3; epoch 2, batch 7
12:10:35 --- PID 1; epoch 2, batch 7
12:10:53 --- PID 0; epoch 2, batch 8
12:10:53 --- PID 3; epoch 2, batch 8
12:10:53 --- PID 2; epoch 2, batch 8
12:10:53 --- PID 1; epoch 2, batch 8
12:11:11 --- PID 0; epoch 2, batch 9
12:11:11 --- PID 2; epoch 2, batch 9
12:11:11 --- PID 3; epoch 2, batch 9
12:11:11 --- PID 1; epoch 2, batch 9
12:11:28 --- PID 1; epoch 3, batch 0
12:11:28 --- PID 3; epoch 3, batch 0
12:11:28 --- PID 2; epoch 3, batch 0
12:11:31 --- Epoch: 2	Train loss: 6.6370	Valid loss: 6.6356	Train accuracy: 0.22	Valid accuracy: 0.20
12:11:31 --- PID 0; epoch 3, batch 0
12:11:47 --- PID 0; epoch 3, batch 1
12:11:47 --- PID 2; epoch 3, batch 1
12:11:47 --- PID 3; epoch 3, batch 1
12:11:47 --- PID 1; epoch 3, batch 1
12:12:05 --- PID 2; epoch 3, batch 2
12:12:05 --- PID 0; epoch 3, batch 2
12:12:05 --- PID 3; epoch 3, batch 2
12:12:05 --- PID 1; epoch 3, batch 2
12:12:22 --- PID 0; epoch 3, batch 3
12:12:22 --- PID 3; epoch 3, batch 3
12:12:22 --- PID 2; epoch 3, batch 3
12:12:22 --- PID 1; epoch 3, batch 3
12:12:39 --- PID 0; epoch 3, batch 4
12:12:39 --- PID 3; epoch 3, batch 4
12:12:39 --- PID 2; epoch 3, batch 4
12:12:39 --- PID 1; epoch 3, batch 4
12:12:56 --- PID 0; epoch 3, batch 5
12:12:56 --- PID 3; epoch 3, batch 5
12:12:56 --- PID 2; epoch 3, batch 5
12:12:56 --- PID 1; epoch 3, batch 5
12:13:13 --- PID 0; epoch 3, batch 6
12:13:13 --- PID 3; epoch 3, batch 6
12:13:13 --- PID 2; epoch 3, batch 6
12:13:13 --- PID 1; epoch 3, batch 6
12:13:30 --- PID 0; epoch 3, batch 7
12:13:30 --- PID 2; epoch 3, batch 7
12:13:30 --- PID 3; epoch 3, batch 7
12:13:30 --- PID 1; epoch 3, batch 7
12:13:47 --- PID 0; epoch 3, batch 8
12:13:47 --- PID 3; epoch 3, batch 8
12:13:47 --- PID 2; epoch 3, batch 8
12:13:47 --- PID 1; epoch 3, batch 8
12:14:04 --- PID 0; epoch 3, batch 9
12:14:04 --- PID 3; epoch 3, batch 9
12:14:04 --- PID 2; epoch 3, batch 9
12:14:04 --- PID 1; epoch 3, batch 9
12:14:22 --- PID 1; epoch 4, batch 0
12:14:22 --- PID 3; epoch 4, batch 0
12:14:22 --- PID 2; epoch 4, batch 0
12:14:24 --- Epoch: 3	Train loss: 6.5466	Valid loss: 6.5489	Train accuracy: 0.20	Valid accuracy: 0.20
12:14:24 --- PID 0; epoch 4, batch 0
12:14:41 --- PID 0; epoch 4, batch 1
12:14:41 --- PID 3; epoch 4, batch 1
12:14:41 --- PID 2; epoch 4, batch 1
12:14:41 --- PID 1; epoch 4, batch 1
12:14:59 --- PID 0; epoch 4, batch 2
12:14:59 --- PID 2; epoch 4, batch 2
12:14:59 --- PID 1; epoch 4, batch 2
12:14:59 --- PID 3; epoch 4, batch 2
^C
(base) austin:~/CS535/TP$ 12:15:19 --- PID 0; epoch 4, batch 3
12:15:19 --- PID 3; epoch 4, batch 3
12:15:19 --- PID 2; epoch 4, batch 3
12:15:19 --- PID 1; epoch 4, batch 3
[K(base) austin:~/CS535/TP$ 
(base) austin:~/CS535/TP$ ./stop_distributed.sh 
(base) austin:~/CS535/TP$ ./run_distributed.sh 
(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
Started process 0
Started process 2
Started process 1
Started process 3
12:17:49 --- PID 0; epoch 0, batch 0
12:17:49 --- PID 2; epoch 0, batch 0
12:17:49 --- PID 1; epoch 0, batch 0
12:17:49 --- PID 3; epoch 0, batch 0
12:26:37 --- PID 2; epoch 0, batch 1
12:26:37 --- PID 3; epoch 0, batch 1
12:26:37 --- PID 0; epoch 0, batch 1
12:26:37 --- PID 1; epoch 0, batch 1
[K(base) austin:~/CS535/TP$ 12:35:40 --- PID 1; epoch 0, batch 2
12:35:40 --- PID 0; epoch 0, batch 2
12:35:40 --- PID 2; epoch 0, batch 2
12:35:40 --- PID 3; epoch 0, batch 2
12:44:39 --- PID 1; epoch 0, batch 3
12:44:39 --- PID 2; epoch 0, batch 3
12:44:39 --- PID 0; epoch 0, batch 3
12:44:39 --- PID 3; epoch 0, batch 3
12:53:38 --- PID 0; epoch 0, batch 4
12:53:38 --- PID 3; epoch 0, batch 4
12:53:38 --- PID 1; epoch 0, batch 4
12:53:38 --- PID 2; epoch 0, batch 4
13:02:31 --- PID 0; epoch 0, batch 5
13:02:31 --- PID 1; epoch 0, batch 5
13:02:31 --- PID 2; epoch 0, batch 5
13:02:31 --- PID 3; epoch 0, batch 5
13:11:27 --- PID 1; epoch 0, batch 6
13:11:27 --- PID 2; epoch 0, batch 6
13:11:27 --- PID 3; epoch 0, batch 6
13:11:27 --- PID 0; epoch 0, batch 6
13:20:23 --- PID 2; epoch 0, batch 7
13:20:23 --- PID 0; epoch 0, batch 7
13:20:23 --- PID 3; epoch 0, batch 7
13:20:23 --- PID 1; epoch 0, batch 7
13:29:19 --- PID 0; epoch 0, batch 8
13:29:19 --- PID 1; epoch 0, batch 8
13:29:19 --- PID 3; epoch 0, batch 8
13:29:19 --- PID 2; epoch 0, batch 8
13:38:08 --- PID 0; epoch 0, batch 9
13:38:08 --- PID 1; epoch 0, batch 9
13:38:08 --- PID 2; epoch 0, batch 9
13:38:08 --- PID 3; epoch 0, batch 9
13:47:04 --- PID 2; epoch 1, batch 0
13:47:04 --- PID 1; epoch 1, batch 0
13:47:04 --- PID 3; epoch 1, batch 0
13:47:06 --- Epoch: 0	Train loss: nan	Valid loss: nan	Train accuracy: 0.24	Valid accuracy: 0.20
13:47:06 --- PID 0; epoch 1, batch 0
13:55:51 --- PID 0; epoch 1, batch 1
13:55:51 --- PID 1; epoch 1, batch 1
13:55:51 --- PID 2; epoch 1, batch 1
13:55:51 --- PID 3; epoch 1, batch 1
14:04:47 --- PID 1; epoch 1, batch 2
14:04:47 --- PID 0; epoch 1, batch 2
14:04:47 --- PID 3; epoch 1, batch 2
14:04:47 --- PID 2; epoch 1, batch 2
14:13:36 --- PID 3; epoch 1, batch 3
14:13:36 --- PID 0; epoch 1, batch 3
14:13:36 --- PID 2; epoch 1, batch 3
14:13:36 --- PID 1; epoch 1, batch 3
14:22:27 --- PID 3; epoch 1, batch 4
14:22:27 --- PID 0; epoch 1, batch 4
14:22:27 --- PID 1; epoch 1, batch 4
14:22:27 --- PID 2; epoch 1, batch 4
14:31:21 --- PID 3; epoch 1, batch 5
14:31:21 --- PID 0; epoch 1, batch 5
14:31:21 --- PID 2; epoch 1, batch 5
14:31:21 --- PID 1; epoch 1, batch 5
14:40:10 --- PID 3; epoch 1, batch 6
14:40:10 --- PID 0; epoch 1, batch 6
14:40:10 --- PID 2; epoch 1, batch 6
14:40:10 --- PID 1; epoch 1, batch 6
14:49:02 --- PID 0; epoch 1, batch 7
14:49:02 --- PID 1; epoch 1, batch 7
14:49:02 --- PID 3; epoch 1, batch 7
14:49:02 --- PID 2; epoch 1, batch 7
14:57:52 --- PID 2; epoch 1, batch 8
14:57:52 --- PID 3; epoch 1, batch 8
14:57:52 --- PID 1; epoch 1, batch 8
14:57:52 --- PID 0; epoch 1, batch 8
15:06:48 --- PID 0; epoch 1, batch 9
15:06:48 --- PID 3; epoch 1, batch 9
15:06:48 --- PID 2; epoch 1, batch 9
15:06:48 --- PID 1; epoch 1, batch 9
15:15:45 --- PID 1; epoch 2, batch 0
15:15:45 --- PID 3; epoch 2, batch 0
15:15:45 --- PID 2; epoch 2, batch 0
15:15:47 --- Epoch: 1	Train loss: nan	Valid loss: nan	Train accuracy: 0.24	Valid accuracy: 0.20
15:15:47 --- PID 0; epoch 2, batch 0

(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
Started process 3
Started process 2
Started process 1
Started process 0
15:25:16 --- PID 2; epoch 0, batch 0
15:25:16 --- PID 0; epoch 0, batch 0
15:25:16 --- PID 3; epoch 0, batch 0
15:25:16 --- PID 1; epoch 0, batch 0
15:25:38 --- PID 0; epoch 0, batch 1
15:25:38 --- PID 1; epoch 0, batch 1
15:25:38 --- PID 2; epoch 0, batch 1
15:25:38 --- PID 3; epoch 0, batch 1
[K(base) austin:~/CS535/TP$ 15:25:58 --- PID 2; epoch 0, batch 2
15:25:58 --- PID 0; epoch 0, batch 2
15:25:58 --- PID 1; epoch 0, batch 2
15:25:58 --- PID 3; epoch 0, batch 2
15:26:17 --- PID 3; epoch 0, batch 3
15:26:17 --- PID 0; epoch 0, batch 3
15:26:17 --- PID 1; epoch 0, batch 3
15:26:17 --- PID 2; epoch 0, batch 3
15:26:37 --- PID 2; epoch 0, batch 4
15:26:37 --- PID 3; epoch 0, batch 4
15:26:37 --- PID 0; epoch 0, batch 4
15:26:37 --- PID 1; epoch 0, batch 4
15:26:56 --- PID 0; epoch 0, batch 5
15:26:56 --- PID 1; epoch 0, batch 5
15:26:56 --- PID 2; epoch 0, batch 5
15:26:56 --- PID 3; epoch 0, batch 5
15:27:16 --- PID 1; epoch 0, batch 6
15:27:16 --- PID 0; epoch 0, batch 6
15:27:16 --- PID 2; epoch 0, batch 6
